Analysis Code,WBS Item,Source Catalog,Analysis Description,Overhead Factor,Resource ID,Resource Category,Resource Description,Resource Unit,Coefficient,Resource Price
AHSP-3.5.(2b),3.5.(2b),Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Geotekstil Separator Kelas 2,0.1,L01,Labor,Pekerja,jam,0.0016,120000
AHSP-3.5.(2b),3.5.(2b),Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Geotekstil Separator Kelas 2,0.1,L03,Labor,Mandor,jam,0.0002,120000
AHSP-3.5.(2b),3.5.(2b),Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Geotekstil Separator Kelas 2,0.1,M58c,Material,Geotekstil separator,m2,1.02,25000
AHSP-SKh-1.3.16.(5)c,SKh-1.3.16.(5)c,Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Angkur Pin dari batang Baja Sirip BjTS 520 Dia 32 mm,0.1,L01,Labor,Pekerja,jam,0.3213,120000
AHSP-SKh-1.3.16.(5)c,SKh-1.3.16.(5)c,Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Angkur Pin dari batang Baja Sirip BjTS 520 Dia 32 mm,0.1,L03,Labor,Mandor,jam,0.09,120000
AHSP-4.6.(1),4.6.(1),Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Latasir Kelas A (SS-A),0.1,E01,Equipment,Asphalt Mixing Plant (AMP),jam,0.0201,350000
AHSP-4.6.(1),4.6.(1),Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Latasir Kelas A (SS-A),0.1,E12,Equipment,Generator Set (Genset),jam,0.0201,350000
AHSP-4.6.(1),4.6.(1),Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Latasir Kelas A (SS-A),0.1,E15,Equipment,Wheel Loader,jam,0.0109,350000
AHSP-4.6.(1),4.6.(1),Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Latasir Kelas A (SS-A),0.1,L01,Labor,Pekerja,jam,0.2008,120000
AHSP-4.6.(1),4.6.(1),Analisis Harga Satuan Pekerjaan Bidang Bina Marga (BM),Analisis Latasir Kelas A (SS-A),0.1,L03,Labor,Mandor,jam,0.0201,120000
